TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train
CHEMBL2148600,0.8125,0.7857142857142857,0.0,0.0,0.82+/-0.038
CHEMBL2150628,0.8125,0.8,0.0,0.0,0.974+/-0.038
CHEMBL2154555,0.875,0.9,0.0,0.0,0.857+/-0.055
CHEMBL2154557,0.5625,0.5555555555555556,0.0,0.0,0.82+/-0.144
CHEMBL2156781,0.75,0.7884615384615384,0.0,0.0,0.892+/-0.032
CHEMBL2162371,0.75,0.7586206896551724,0.0,0.0,0.856+/-0.098
CHEMBL2167912,0.5625,0.5,0.0,0.0,0.659+/-0.155
CHEMBL2183320,0.375,0.4210526315789472,0.0,0.0,0.594+/-0.091
CHEMBL2211264,0.875,0.8571428571428571,0.0,0.0,0.91+/-0.019
CHEMBL2211789,0.125,0.1538461538461538,0.0,0.0,0.508+/-0.192
CHEMBL2213258,0.6875,0.7391304347826086,0.0,0.0,0.799+/-0.055
CHEMBL2215267,0.3125,0.5,0.0,0.0,1.0+/-0.0
CHEMBL2317095,0.4375,0.4545454545454545,0.0,0.0,0.604+/-0.12
CHEMBL2319498,0.8125,0.7692307692307693,0.0,0.0,0.891+/-0.063
CHEMBL2320857,0.875,0.9047619047619048,0.0,0.0,0.873+/-0.033
CHEMBL2328235,0.875,0.9032258064516128,0.0,0.0,0.975+/-0.01
CHEMBL2328533,0.0625,0.0930232558139534,0.0,0.0,0.119+/-0.021
CHEMBL2330536,0.125,0.125,0.0,0.0,1.0+/-0.0
CHEMBL2341227,0.6875,0.6363636363636364,0.0,0.0,0.688+/-0.1
CHEMBL2349727,0.6875,0.6363636363636364,0.0,0.0,0.938+/-0.03
CHEMBL2350725,0.9375,0.8571428571428571,0.0,0.0,0.955+/-0.032
CHEMBL2351677,0.6875,0.6666666666666666,0.0,0.0,0.908+/-0.139
CHEMBL2353302,0.25,0.1666666666666666,0.0,0.0,0.85+/-0.242
CHEMBL2379584,0.375,0.4285714285714285,0.0,0.0,0.673+/-0.165
CHEMBL2388705,0.3125,0.2857142857142857,0.0,0.0,0.533+/-0.099
CHEMBL2390255,0.6875,0.5,0.0,0.0,0.7+/-0.258
CHEMBL2390645,0.625,0.6666666666666666,0.0,0.0,0.948+/-0.055
CHEMBL2395313,0.75,0.7333333333333333,0.0,0.0,0.917+/-0.032
CHEMBL2400390,0.5,0.4583333333333333,0.0,0.0,0.907+/-0.047
CHEMBL2400409,0.8125,0.8400000000000001,0.0,0.0,0.815+/-0.045
CHEMBL2404552,0.9375,0.9090909090909092,0.0,0.0,0.997+/-0.004
CHEMBL2404680,0.75,0.5,0.0,0.0,0.95+/-0.158
CHEMBL2405247,0.9375,0.9629629629629628,0.0,0.0,0.999+/-0.001
CHEMBL2405554,0.5625,0.5454545454545454,0.0,0.0,0.954+/-0.042
CHEMBL2405555,0.5625,0.5882352941176471,0.0,0.0,0.858+/-0.125
CHEMBL2405783,0.6875,0.6956521739130435,0.0,0.0,0.789+/-0.037
CHEMBL2410403,0.3125,0.25,0.0,0.0,0.575+/-0.367
CHEMBL2432161,0.25,0.2285714285714285,0.0,0.0,0.809+/-0.079
CHEMBL2434102,0.875,0.888888888888889,0.0,0.0,1.0+/-0.0
CHEMBL2439189,0.9375,0.9090909090909092,0.0,0.0,0.875+/-0.056
CHEMBL2439404,0.0625,0.1111111111111111,0.0,0.0,0.592+/-0.295
CHEMBL2439550,0.25,0.2,0.0,0.0,0.431+/-0.143
CHEMBL2439553,0.125,0.0666666666666666,0.0,0.0,0.148+/-0.084
CHEMBL2439555,0.0625,0.0588235294117647,0.0,0.0,0.269+/-0.144
CHEMBL2439741,0.9375,0.9333333333333332,0.0,0.0,0.931+/-0.029
CHEMBL2444082,0.5625,0.5238095238095238,0.0,0.0,0.823+/-0.079
CHEMBL2445761,0.4375,0.4680851063829786,0.0,0.0,0.961+/-0.02
CHEMBL2447603,0.125,0.25,0.0,0.0,1.0+/-0.0
CHEMBL3055209,0.375,0.3571428571428571,0.0,0.0,0.827+/-0.132
CHEMBL3057815,0.1875,0.2,0.0,0.0,0.555+/-0.393
CHEMBL3060860,0.125,0.25,0.0,0.0,0.592+/-0.295
CHEMBL3062734,0.5,0.4827586206896551,0.0,0.0,0.867+/-0.066
